date,model,tier,vram_gb,lhr,msrp_usd,street_price_usd,architecture
2022-06-01,RTX 3070 Ti,XX70,8,0,599,699.86,Ampere
2022-07-01,RTX 3070 Ti,XX70,8,0,599,705.17,Ampere
2022-08-01,RTX 3070 Ti,XX70,8,0,599,725.1,Ampere
2022-09-01,RTX 3070 Ti,XX70,8,0,599,732.42,Ampere
2021-07-01,RTX 3070 Ti LHR,XX70,8,1,599,548.61,Ampere
2021-08-01,RTX 3070 Ti LHR,XX70,8,1,599,569.37,Ampere
2021-09-01,RTX 3070 Ti LHR,XX70,8,1,599,571.12,Ampere
2021-10-01,RTX 3070 Ti LHR,XX70,8,1,599,550.15,Ampere
2021-11-01,RTX 3070 Ti LHR,XX70,8,1,599,569.21,Ampere
2021-12-01,RTX 3070 Ti LHR,XX70,8,1,599,561.47,Ampere
2022-01-01,RTX 3070 Ti LHR,XX70,8,1,599,607.56,Ampere
2022-02-01,RTX 3070 Ti LHR,XX70,8,1,599,621.78,Ampere
2022-03-01,RTX 3070 Ti LHR,XX70,8,1,599,642.73,Ampere
2022-04-01,RTX 3070 Ti LHR,XX70,8,1,599,670.05,Ampere
2022-05-01,RTX 3070 Ti LHR,XX70,8,1,599,647.57,Ampere
2022-06-01,RTX 3070 Ti LHR,XX70,8,1,599,628.76,Ampere
2022-07-01,RTX 3070 Ti LHR,XX70,8,1,599,661.93,Ampere
2022-08-01,RTX 3070 Ti LHR,XX70,8,1,599,684.94,Ampere
2022-09-01,RTX 3070 Ti LHR,XX70,8,1,599,694.33,Ampere
2020-10-01,RTX 3080,XX80,10,0,699,598.3,Ampere
2020-11-01,RTX 3080,XX80,10,0,699,612.06,Ampere
2020-12-01,RTX 3080,XX80,10,0,699,598.39,Ampere
2021-01-01,RTX 3080,XX80,10,0,699,606.53,Ampere
2021-02-01,RTX 3080,XX80,10,0,699,645.22,Ampere
2021-03-01,RTX 3080,XX80,10,0,699,637.56,Ampere
2021-04-01,RTX 3080,XX80,10,0,699,609.07,Ampere
2021-05-01,RTX 3080,XX80,10,0,699,671.42,Ampere
2021-06-01,RTX 3080,XX80,10,0,699,685.23,Ampere
2021-07-01,RTX 3080,XX80,10,0,699,654.79,Ampere
2021-08-01,RTX 3080,XX80,10,0,699,660.4,Ampere
2021-09-01,RTX 3080,XX80,10,0,699,644.73,Ampere
2021-10-01,RTX 3080,XX80,10,0,699,682.85,Ampere
2021-11-01,RTX 3080,XX80,10,0,699,682.56,Ampere
2021-12-01,RTX 3080,XX80,10,0,699,687.43,Ampere
2022-01-01,RTX 3080,XX80,10,0,699,680.59,Ampere
2022-02-01,RTX 3080,XX80,10,0,699,693.31,Ampere
2022-03-01,RTX 3080,XX80,10,0,699,700.21,Ampere
2022-04-01,RTX 3080,XX80,10,0,699,783.34,Ampere
2022-05-01,RTX 3080,XX80,10,0,699,780.28,Ampere
2022-06-01,RTX 3080,XX80,10,0,699,800.43,Ampere
2022-07-01,RTX 3080,XX80,10,0,699,811.49,Ampere
2022-08-01,RTX 3080,XX80,10,0,699,828.65,Ampere
2022-09-01,RTX 3080,XX80,10,0,699,832.81,Ampere
2021-06-01,RTX 3080 LHR,XX80,10,1,699,672.4,Ampere
2021-07-01,RTX 3080 LHR,XX80,10,1,699,663.81,Ampere
2021-08-01,RTX 3080 LHR,XX80,10,1,699,637.82,Ampere
2021-09-01,RTX 3080 LHR,XX80,10,1,699,669.68,Ampere
2021-10-01,RTX 3080 LHR,XX80,10,1,699,686.72,Ampere
2021-11-01,RTX 3080 LHR,XX80,10,1,699,670.14,Ampere
2021-12-01,RTX 3080 LHR,XX80,10,1,699,728.54,Ampere
2022-01-01,RTX 3080 LHR,XX80,10,1,699,683.71,Ampere
2022-02-01,RTX 3080 LHR,XX80,10,1,699,740.4,Ampere
2022-03-01,RTX 3080 LHR,XX80,10,1,699,730.48,Ampere
2022-04-01,RTX 3080 LHR,XX80,10,1,699,736.62,Ampere
2022-05-01,RTX 3080 LHR,XX80,10,1,699,757.8,Ampere
2022-06-01,RTX 3080 LHR,XX80,10,1,699,774.14,Ampere
2022-07-01,RTX 3080 LHR,XX80,10,1,699,777.44,Ampere
2022-08-01,RTX 3080 LHR,XX80,10,1,699,796.84,Ampere
2022-09-01,RTX 3080 LHR,XX80,10,1,699,801.99,Ampere
2021-07-01,RTX 3080 Ti,XX80,12,0,1199,1134.31,Ampere
2021-08-01,RTX 3080 Ti,XX80,12,0,1199,1147.61,Ampere
2021-09-01,RTX 3080 Ti,XX80,12,0,1199,1132.33,Ampere
2021-10-01,RTX 3080 Ti,XX80,12,0,1199,1202.4,Ampere
2021-11-01,RTX 3080 Ti,XX80,12,0,1199,1098.52,Ampere
2021-12-01,RTX 3080 Ti,XX80,12,0,1199,1188.37,Ampere
2022-01-01,RTX 3080 Ti,XX80,12,0,1199,1187.15,Ampere
2022-02-01,RTX 3080 Ti,XX80,12,0,1199,1234.81,Ampere
2022-03-01,RTX 3080 Ti,XX80,12,0,1199,1293.62,Ampere
2022-04-01,RTX 3080 Ti,XX80,12,0,1199,1256.37,Ampere
2022-05-01,RTX 3080 Ti,XX80,12,0,1199,1238.2,Ampere
2022-06-01,RTX 3080 Ti,XX80,12,0,1199,1295.08,Ampere
2022-07-01,RTX 3080 Ti,XX80,12,0,1199,1301.31,Ampere
2022-08-01,RTX 3080 Ti,XX80,12,0,1199,1439.27,Ampere
2022-09-01,RTX 3080 Ti,XX80,12,0,1199,1445.61,Ampere
2020-10-01,RTX 3090,XX90,24,0,1499,1250.51,Ampere
2020-11-01,RTX 3090,XX90,24,0,1499,1242.91,Ampere
2020-12-01,RTX 3090,XX90,24,0,1499,1307.68,Ampere
2021-01-01,RTX 3090,XX90,24,0,1499,1308.68,Ampere
2021-02-01,RTX 3090,XX90,24,0,1499,1317.95,Ampere
2021-03-01,RTX 3090,XX90,24,0,1499,1283.39,Ampere
2021-04-01,RTX 3090,XX90,24,0,1499,1335.39,Ampere
2021-05-01,RTX 3090,XX90,24,0,1499,1417.33,Ampere
2021-06-01,RTX 3090,XX90,24,0,1499,1424.51,Ampere
2021-07-01,RTX 3090,XX90,24,0,1499,1436.67,Ampere
2021-08-01,RTX 3090,XX90,24,0,1499,1311.22,Ampere
2021-09-01,RTX 3090,XX90,24,0,1499,1425.42,Ampere
2021-10-01,RTX 3090,XX90,24,0,1499,1466.51,Ampere
2021-11-01,RTX 3090,XX90,24,0,1499,1469.45,Ampere
2021-12-01,RTX 3090,XX90,24,0,1499,1548.93,Ampere
2022-01-01,RTX 3090,XX90,24,0,1499,1489.05,Ampere
2022-02-01,RTX 3090,XX90,24,0,1499,1624.09,Ampere
2022-03-01,RTX 3090,XX90,24,0,1499,1551.8,Ampere
2022-04-01,RTX 3090,XX90,24,0,1499,1533.03,Ampere
2022-05-01,RTX 3090,XX90,24,0,1499,1651.12,Ampere
2022-06-01,RTX 3090,XX90,24,0,1499,1724.84,Ampere
2022-07-01,RTX 3090,XX90,24,0,1499,1771.43,Ampere
2022-08-01,RTX 3090,XX90,24,0,1499,1832.89,Ampere
2022-09-01,RTX 3090,XX90,24,0,1499,1882.3,Ampere
